COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Paraguay,PRY,AMRO,REPORTING,2022-10-28,9419313,3967215,132.061,55.621,3518399,49.329,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-22,8,1617513,22.678
Peru,PER,AMRO,REPORTING,2022-10-28,84981554,29908445,257.74,90.709,28280111,85.77,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-09,4,21376479,64.833
Philippines,PHL,WPRO,REPORTING,2022-10-20,167639203,77994168,152.982,71.175,73449131,67.027,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,11,20425579,18.64
Pitcairn Islands,PCN,WPRO,REPORTING,2022-02-28,138,55,276,110,37,74,AstraZeneca - Vaxzevria,2021-05-17,1,23,46
Poland,POL,EURO,REPORTING,2022-10-16,57383999,22901670,151.2,60.334,22625720,59.607,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,12426877,32.738
Portugal,PRT,EURO,REPORTING,2022-10-16,25658974,9760014,249.2,94.891,8873102,86.181,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,8,6946902,67.472
Puerto Rico,PRI,AMRO,REPORTING,2022-10-28,7798061,3117448,272.578,108.969,2748798,96.083,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",,4,1723166,60.233
Qatar,QAT,EMRO,REPORTING,2022-11-01,7592322,2847595,263.526,98.839,2847594,98.839,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10,1897133,65.849
Republic of Korea,KOR,WPRO,REPORTING,2022-09-30,130834289,45113628,255.191,87.994,44678807,87.146,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-26,5,33600655,65.538
Republic of Moldova,MDA,EURO,REPORTING,2022-09-18,2241785,1101302,55.6,27.301,1071341,26.558,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-03,7,370563,9.186
Romania,ROU,EURO,REPORTING,2022-10-16,16083871,8183574,83.2,42.339,8136562,42.095,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-27,4,1761712,9.114
Russian Federation,RUS,EURO,OWID,2022-10-31,179202586,85406305,122.8,58.524,77321901,52.984,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
Rwanda,RWA,AFRO,REPORTING,2022-10-23,26106436,9547259,201.56,73.711,8962371,69.196,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,7,5562376,42.945
Saba,XCA,AMRO,REPORTING,2022-10-28,4471,1687,231.298,87.274,1657,85.722,,,,1127,58.303
Saint Helena,SHN,AFRO,OWID,2021-05-05,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2022-10-28,64225,33794,120.742,63.532,26944,50.654,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3,3465,6.514
Saint Lucia,LCA,AMRO,REPORTING,2022-10-28,122977,60140,66.971,32.751,54971,29.936,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-17,5,7866,4.284
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2022-10-28,72941,37311,65.748,33.632,31433,28.333,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-01,5,4197,3.783
Samoa,WSM,WPRO,REPORTING,2022-09-26,440413,191071,221.967,96.299,177489,89.454,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-04-18,2,71853,36.214
San Marino,SMR,EURO,REPORTING,2022-05-22,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-02-24,2,19348,56.158
Sao Tome and Principe,STP,AFRO,REPORTING,2022-10-23,227603,127410,103.853,58.136,103508,47.23,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-15,2,32393,14.781
Saudi Arabia,SAU,EMRO,REPORTING,2022-10-27,67979420,26918732,195.265,77.322,25320917,72.732,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-06,10,15739771,45.211
Senegal,SEN,AFRO,REPORTING,2022-10-23,2469499,1732282,14.749,10.346,1263032,7.543,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-02-23,3,591916,3.535
Serbia,SRB,EURO,REPORTING,2022-09-04,6717622,3396340,97,49.033,3321282,47.949,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,5,0,0
Seychelles,SYC,AFRO,REPORTING,2022-10-23,217487,85655,221.142,87.095,81494,82.864,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",2021-01-10,4,43749,44.484
Sierra Leone,SLE,AFRO,REPORTING,2022-10-30,4834206,3513208,60.602,44.042,2736804,34.309,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-15,2,71618,0.898
Singapore,SGP,WPRO,REPORTING,2022-09-28,14695435,5161367,251.189,88.223,5120432,87.524,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,4413636,75.442
Sint Eustatius,XBA,AMRO,REPORTING,2022-10-28,4257,1791,135.616,57.056,1686,53.711,,,,780,24.849
Sint Maarten,SXM,AMRO,REPORTING,2022-10-28,65324,29788,152.334,69.465,26515,61.832,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-22,3,9021,21.037
Slovakia,SVK,EURO,REPORTING,2022-10-16,7176980,2838635,131.5,52.01,2790217,51.123,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-01-06,6,1683402,30.844
Slovenia,SVN,EURO,REPORTING,2022-10-16,2999524,1233013,143.1,58.831,1202504,57.375,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,654976,31.251
Solomon Islands,SLB,WPRO,REPORTING,2022-10-09,540361,315969,78.668,46,212173,30.889,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-23,4,14725,2.144
Somalia,SOM,EMRO,REPORTING,2022-10-30,8132773,7137557,51.171,44.909,5936922,37.355,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-16,11,,
South Africa,ZAF,AFRO,REPORTING,2022-10-30,37796915,23825968,63.729,40.173,20898618,35.237,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2,3789414,6.389
South Sudan,SSD,AFRO,REPORTING,2022-10-30,2180708,2143114,19.482,19.146,2101283,18.772,"Janssen - Ad26.COV 2-S,SII - Covishield",2021-04-06,2,,
Spain,ESP,EURO,REPORTING,2022-10-16,103064170,41287568,217.7,87.229,37488975,79.203,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,26001927,54.934
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590,17143761,187.345,80.061,14752827,68.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-29,6,8220002,38.387
Sudan,SDN,EMRO,REPORTING,2022-05-30,8179010,6651268,18.653,15.168,4536964,10.347,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,11,50234,0.115
Suriname,SUR,AMRO,REPORTING,2022-10-28,554588,267820,94.538,45.654,237879,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,5,48889,8.334
Sweden,SWE,EURO,REPORTING,2022-10-16,22750237,7504601,220.3,72.666,7366812,71.331,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5,5525594,53.503
Switzerland,CHE,EURO,REPORTING,2022-10-09,15844749,6092913,183.1,70.798,5718238,66.445,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,4,4093370,47.564
Syrian Arab Republic,SYR,EMRO,REPORTING,2022-10-16,4777586,3050850,27.299,17.433,2105113,12.029,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-01,11,75881,0.434
Tajikistan,TJK,EURO,REPORTING,2022-08-21,15441380,5282863,161.9,55.39,5120562,53.688,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-24,6,4951036,51.91
Thailand,THA,SEARO,REPORTING,2022-09-30,142635014,57005497,204.348,81.67,53486086,76.628,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac",2021-02-28,8,32143431,46.051
The United Kingdom,GBR,EURO,REPORTING,2022-09-11,151248820,53813491,222.8,79.068,50762968,74.586,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3,,
Timor-Leste,TLS,SEARO,REPORTING,2022-10-29,1856567,859542,140.815,65.194,758817,57.554,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-07,4,238208,18.067
Togo,TGO,AFRO,REPORTING,2022-10-30,3381542,2232792,40.846,26.97,1451712,17.535,SII - Covishield,2021-03-10,1,138868,1.677
Tokelau,TKL,WPRO,REPORTING,2022-09-05,4924,1494,364.741,110.667,1494,110.667,Pfizer BioNTech - Comirnaty,2021-07-20,1,968,71.704
Tonga,TON,WPRO,REPORTING,2022-10-10,203004,87242,192.066,82.541,76800,72.662,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-04-14,2,38082,36.03
Trinidad and Tobago,TTO,AMRO,REPORTING,2022-10-28,1582011,753588,113.042,53.847,717614,51.277,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-17,5,169016,12.077
Tunisia,TUN,EMRO,REPORTING,2022-11-01,13154159,7209983,111.3,61.005,6384739,54.023,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-13,10,1250615,10.582
Turkey,TUR,EURO,OWID,2022-10-31,152405372,57932853,,69.669,53167127,63.937,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",,3,,
Turkmenistan,TKM,EURO,REPORTING,2022-09-04,13514000,3728000,224.1,61.812,3689000,61.165,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",2021-02-24,7,3340000,55.379
Turks and Caicos Islands,TCA,AMRO,REPORTING,2022-10-28,72837,32338,188.122,83.522,30288,78.227,Pfizer BioNTech - Comirnaty,2021-01-11,1,7272,18.782
Tuvalu,TUV,WPRO,REPORTING,2022-08-31,25591,9603,217.02,81.437,9322,79.054,AstraZeneca - Vaxzevria,2021-04-13,1,5528,46.879
Uganda,UGA,AFRO,REPORTING,2022-10-09,25783131,18867075,56.368,41.248,12765601,27.908,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-10,5,431349,0.943
Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577,15774300,72.4,36.069,15153577,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-24,6,741197,1.695
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054,9991089,251.982,101.018,9792266,99.008,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,11,5138699,51.956
United Republic of Tanzania,TZA,AFRO,REPORTING,2022-10-30,31047338,26392125,51.976,44.183,24524930,41.057,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-07-28,3,,
United States of America,USA,AMRO,REPORTING,2022-10-28,629073496,262914024,190.051,79.43,224185029,67.729,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-14,4,110125673,33.27
Uruguay,URY,AMRO,REPORTING,2022-10-28,8744104,3001907,251.721,86.417,2894080,83.313,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-27,3,2064398,59.429
Uzbekistan,UZB,EURO,REPORTING,2022-10-09,69218586,21037140,206.8,62.855,17201955,51.396,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",2021-04-28,8,14334007,42.827
Vanuatu,VUT,WPRO,REPORTING,2022-08-28,292146,144290,95.117,46.978,131300,42.749,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",2021-06-02,3,16556,5.39
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2022-10-28,37860994,22157232,133.145,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",2021-02-22,6,651502,2.291
Viet Nam,VNM,WPRO,REPORTING,2022-10-20,261059430,90044496,268.197,92.506,84433722,86.742,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-03-08,6,56250109,57.788
Wallis and Futuna,WLF,WPRO,REPORTING,2022-07-26,16782,6592,149.226,58.616,6989,62.147,Moderna - Spikevax,2021-03-19,1,3201,28.463
Yemen,YEM,EMRO,REPORTING,2022-10-30,1145868,914722,3.842,3.067,676019,2.267,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-20,11,54985,0.184
Zambia,ZMB,AFRO,REPORTING,2022-10-30,13055448,10611599,71.015,57.722,8143760,44.298,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-04-14,3,967569,5.263
Zimbabwe,ZWE,AFRO,REPORTING,2022-10-16,12622764,6542794,84.928,44.021,4902925,32.988,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2021-02-18,4,1177045,7.919
